PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36828173","Cystic fibrosis and primary ciliary dyskinesia: Similarities and differences","Pereira R, Barbosa T, Cardoso AL, Sá R, Sousa M.","Respir Med. 2023 Apr;209:107169. doi: 10.1016/j.rmed.2023.107169. Epub 2023 Feb 22.","Pereira R","Respir Med","2023","2023/02/24","","","10.1016/j.rmed.2023.107169"
"34456158","Pregnancy in cystic fibrosis: Review of the literature and expert recommendations","Jain R, Kazmerski TM, Zuckerwise LC, West NE, Montemayor K, Aitken ML, Cheng E, Roe AH, Wilson A, Mann C, Ladores S, Sjoberg J, Poranski M, Taylor-Cousar JL.","J Cyst Fibros. 2022 May;21(3):387-395. doi: 10.1016/j.jcf.2021.07.019. Epub 2021 Aug 26.","Jain R","J Cyst Fibros","2022","2021/08/30","","","10.1016/j.jcf.2021.07.019"
"32799680","Treating Cystic Fibrosis with mRNA and CRISPR","Da Silva Sanchez A, Paunovska K, Cristian A, Dahlman JE.","Hum Gene Ther. 2020 Sep;31(17-18):940-955. doi: 10.1089/hum.2020.137. Epub 2020 Sep 8.","Da Silva Sanchez A","Hum Gene Ther","2020","2020/08/18","PMC7495921","","10.1089/hum.2020.137"
"35816813","Improving nutrition in cystic fibrosis: A systematic literature review","Mielus M, Sands D, Woynarowski M.","Nutrition. 2022 Oct;102:111725. doi: 10.1016/j.nut.2022.111725. Epub 2022 May 6.","Mielus M","Nutrition","2022","2022/07/11","","","10.1016/j.nut.2022.111725"
"32466381","The Changing Epidemiology of Cystic Fibrosis: Incidence, Survival and Impact of the CFTR Gene Discovery","Scotet V, L'Hostis C, Férec C.","Genes (Basel). 2020 May 26;11(6):589. doi: 10.3390/genes11060589.","Scotet V","Genes (Basel)","2020","2020/05/30","PMC7348877","","10.3390/genes11060589"
"35707985","Molecular mechanisms of cystic fibrosis - how mutations lead to misfunction and guide therapy","Farinha CM, Callebaut I.","Biosci Rep. 2022 Jul 29;42(7):BSR20212006. doi: 10.1042/BSR20212006.","Farinha CM","Biosci Rep","2022","2022/06/16","PMC9251585","","10.1042/BSR20212006"
"36344080","Endocrine Complications of Cystic Fibrosis","Kelly A, Marks BE, Stalvey MS.","Clin Chest Med. 2022 Dec;43(4):773-789. doi: 10.1016/j.ccm.2022.06.013.","Kelly A","Clin Chest Med","2022","2022/11/07","PMC10291706","NIHMS1906041","10.1016/j.ccm.2022.06.013"
"36600119","Cystic Fibrosis-Related Gut Dysbiosis: A Systematic Review","Caley LR, White H, de Goffau MC, Floto RA, Parkhill J, Marsland B, Peckham DG.","Dig Dis Sci. 2023 May;68(5):1797-1814. doi: 10.1007/s10620-022-07812-1. Epub 2023 Jan 4.","Caley LR","Dig Dis Sci","2023","2023/01/04","","","10.1007/s10620-022-07812-1"
"35681464","CFTR Modulators in People with Cystic Fibrosis: Real-World Evidence in France","Regard L, Martin C, Burnet E, Da Silva J, Burgel PR.","Cells. 2022 May 28;11(11):1769. doi: 10.3390/cells11111769.","Regard L","Cells","2022","2022/06/10","PMC9179538","","10.3390/cells11111769"
"36014562","Cystic Fibrosis and Oxidative Stress: The Role of CFTR","Moliteo E, Sciacca M, Palmeri A, Papale M, Manti S, Parisi GF, Leonardi S.","Molecules. 2022 Aug 21;27(16):5324. doi: 10.3390/molecules27165324.","Moliteo E","Molecules","2022","2022/08/26","PMC9413234","","10.3390/molecules27165324"
"38129255","Standards for the care of people with cystic fibrosis; establishing and maintaining health","Southern KW, Addy C, Bell SC, Bevan A, Borawska U, Brown C, Burgel PR, Button B, Castellani C, Chansard A, Chilvers MA, Davies G, Davies JC, De Boeck K, Declercq D, Doumit M, Drevinek P, Fajac I, Gartner S, Georgiopoulos AM, Gursli S, Gramegna A, Hansen CM, Hug MJ, Lammertyn E, Landau EEC, Langley R, Mayer-Hamblett N, Middleton A, Middleton PG, Mielus M, Morrison L, Munck A, Plant B, Ploeger M, Bertrand DP, Pressler T, Quon BS, Radtke T, Saynor ZL, Shufer I, Smyth AR, Smith C, van Koningsbruggen-Rietschel S.","J Cyst Fibros. 2024 Jan;23(1):12-28. doi: 10.1016/j.jcf.2023.12.002. Epub 2023 Dec 21.","Southern KW","J Cyst Fibros","2024","2023/12/21","","","10.1016/j.jcf.2023.12.002"
"39056532","Cystic fibrosis year in review 2023","Swetland DV, Savant AP.","Pediatr Pulmonol. 2024 Dec;59(12):3106-3116. doi: 10.1002/ppul.27190. Epub 2024 Jul 26.","Swetland DV","Pediatr Pulmonol","2024","2024/07/26","PMC11601032","","10.1002/ppul.27190"
"33597125","Cystic fibrosis-related diabetes and lung disease: an update","Prentice BJ, Jaffe A, Hameed S, Verge CF, Waters S, Widger J.","Eur Respir Rev. 2021 Feb 16;30(159):200293. doi: 10.1183/16000617.0293-2020. Print 2021 Mar 31.","Prentice BJ","Eur Respir Rev","2021","2021/02/18","PMC9488640","","10.1183/16000617.0293-2020"
"35802761","Mucosal Immunity in Cystic Fibrosis","Bojanowski CM, Lu S, Kolls JK.","J Immunol. 2021 Dec 15;207(12):2901-2912. doi: 10.4049/jimmunol.2100424.","Bojanowski CM","J Immunol","2021","2022/07/08","PMC9270582","NIHMS1751336","10.4049/jimmunol.2100424"
"32097175","Hepatic manifestations of cystic fibrosis","Dana J, Girard M, Debray D.","Curr Opin Gastroenterol. 2020 May;36(3):192-198. doi: 10.1097/MOG.0000000000000624.","Dana J","Curr Opin Gastroenterol","2020","2020/02/26","","","10.1097/MOG.0000000000000624"
"36727723","Active cycle of breathing technique for cystic fibrosis","Wilson LM, Saldanha IJ, Robinson KA.","Cochrane Database Syst Rev. 2023 Feb 2;2(2):CD007862. doi: 10.1002/14651858.CD007862.pub5.","Wilson LM","Cochrane Database Syst Rev","2023","2023/02/02","PMC9893420","","10.1002/14651858.CD007862.pub5"
"33974362","Sleep in children with cystic fibrosis: More under the covers","Reiter J, Breuer O, Cohen-Cymberknoh M, Forno E, Gileles-Hillel A.","Pediatr Pulmonol. 2022 Aug;57(8):1944-1951. doi: 10.1002/ppul.25462. Epub 2021 May 20.","Reiter J","Pediatr Pulmonol","2022","2021/05/11","PMC8581061","NIHMS1704573","10.1002/ppul.25462"
"39273547","Cystic Fibrosis: A Journey through Time and Hope","Trouvé P, Saint Pierre A, Férec C.","Int J Mol Sci. 2024 Sep 4;25(17):9599. doi: 10.3390/ijms25179599.","Trouvé P","Int J Mol Sci","2024","2024/09/14","PMC11394767","","10.3390/ijms25179599"
"32276344","The Impact of the CFTR Gene Discovery on Cystic Fibrosis Diagnosis, Counseling, and Preventive Therapy","Farrell PM, Rock MJ, Baker MW.","Genes (Basel). 2020 Apr 8;11(4):401. doi: 10.3390/genes11040401.","Farrell PM","Genes (Basel)","2020","2020/04/12","PMC7231248","","10.3390/genes11040401"
"36979360","Cystic Fibrosis Bone Disease: The Interplay between CFTR Dysfunction and Chronic Inflammation","Fonseca Ó, Gomes MS, Amorim MA, Gomes AC.","Biomolecules. 2023 Feb 24;13(3):425. doi: 10.3390/biom13030425.","Fonseca Ó","Biomolecules","2023","2023/03/29","PMC10046889","","10.3390/biom13030425"
"34437820","Cystic Fibrosis and the Cells of the Airway Epithelium: What Are Ionocytes and What Do They Do?","Shah VS, Chivukula RR, Lin B, Waghray A, Rajagopal J.","Annu Rev Pathol. 2022 Jan 24;17:23-46. doi: 10.1146/annurev-pathol-042420-094031. Epub 2021 Aug 26.","Shah VS","Annu Rev Pathol","2022","2021/08/26","PMC10837786","NIHMS1943892","10.1146/annurev-pathol-042420-094031"
"34469706","A Randomized Clinical Trial of Antimicrobial Duration for Cystic Fibrosis Pulmonary Exacerbation Treatment","Goss CH, Heltshe SL, West NE, Skalland M, Sanders DB, Jain R, Barto TL, Fogarty B, Marshall BC, VanDevanter DR, Flume PA; STOP2 Investigators.","Am J Respir Crit Care Med. 2021 Dec 1;204(11):1295-1305. doi: 10.1164/rccm.202102-0461OC.","Goss CH","Am J Respir Crit Care Med","2021","2021/09/01","PMC8786075","","10.1164/rccm.202102-0461OC"
"34339302","The Gut-Lung Axis in Cystic Fibrosis","Price CE, O'Toole GA.","J Bacteriol. 2021 Sep 23;203(20):e0031121. doi: 10.1128/JB.00311-21. Epub 2021 Aug 2.","Price CE","J Bacteriol","2021","2021/08/02","PMC8459759","","10.1128/JB.00311-21"
"36746183","Diagnosis and Management of Cystic Fibrosis Exacerbations","Milinic T, McElvaney OJ, Goss CH.","Semin Respir Crit Care Med. 2023 Apr;44(2):225-241. doi: 10.1055/s-0042-1760250. Epub 2023 Feb 6.","Milinic T","Semin Respir Crit Care Med","2023","2023/02/06","PMC10131792","NIHMS1889918","10.1055/s-0042-1760250"
"33257262","Updated guidance on the management of children with cystic fibrosis transmembrane conductance regulator-related metabolic syndrome/cystic fibrosis screen positive, inconclusive diagnosis (CRMS/CFSPID)","Barben J, Castellani C, Munck A, Davies JC, de Winter-de Groot KM, Gartner S, Kashirskaya N, Linnane B, Mayell SJ, McColley S, Ooi CY, Proesmans M, Ren CL, Salinas D, Sands D, Sermet-Gaudelus I, Sommerburg O, Southern KW; European CF Society Neonatal Screening Working Group (ECFS NSWG).","J Cyst Fibros. 2021 Sep;20(5):810-819. doi: 10.1016/j.jcf.2020.11.006. Epub 2020 Nov 27.","Barben J","J Cyst Fibros","2021","2020/12/01","","","10.1016/j.jcf.2020.11.006"
"31787574","Intestinal organoids for Cystic Fibrosis research","de Poel E, Lefferts JW, Beekman JM.","J Cyst Fibros. 2020 Mar;19 Suppl 1:S60-S64. doi: 10.1016/j.jcf.2019.11.002. Epub 2019 Nov 28.","de Poel E","J Cyst Fibros","2020","2019/12/03","","","10.1016/j.jcf.2019.11.002"
"37125945","Cystic Fibrosis-Related Diabetes Workshop: Research Priorities Spanning Disease Pathophysiology, Diagnosis, and Outcomes","Putman MS, Norris AW, Hull RL, Rickels MR, Sussel L, Blackman SM, Chan CL, Ode KL, Daley T, Stecenko AA, Moran A, Helmick MJ, Cray S, Alvarez JA, Stallings VA, Tuggle KL, Clancy JP, Eggerman TL, Engelhardt JF, Kelly A.","Diabetes. 2023 Jun 1;72(6):677-689. doi: 10.2337/db22-0949.","Putman MS","Diabetes","2023","2023/05/01","PMC10202770","","10.2337/db22-0949"
"35268004","Understanding Cystic Fibrosis Comorbidities and Their Impact on Nutritional Management","Patel D, Shan A, Mathews S, Sathe M.","Nutrients. 2022 Feb 28;14(5):1028. doi: 10.3390/nu14051028.","Patel D","Nutrients","2022","2022/03/10","PMC8912424","","10.3390/nu14051028"
"34140249","Cardiovascular complications in cystic fibrosis: A review of the literature","Poore TS, Taylor-Cousar JL, Zemanick ET.","J Cyst Fibros. 2022 Jan;21(1):18-25. doi: 10.1016/j.jcf.2021.04.016. Epub 2021 Jun 14.","Poore TS","J Cyst Fibros","2022","2021/06/18","","","10.1016/j.jcf.2021.04.016"
"35011616","Bicarbonate Transport in Cystic Fibrosis and Pancreatitis","Angyal D, Bijvelds MJC, Bruno MJ, Peppelenbosch MP, de Jonge HR.","Cells. 2021 Dec 24;11(1):54. doi: 10.3390/cells11010054.","Angyal D","Cells","2021","2022/01/11","PMC8750324","","10.3390/cells11010054"
"32139465","Re-imagining cystic fibrosis care: next generation thinking","Rang C, Keating D, Wilson J, Kotsimbos T.","Eur Respir J. 2020 May 27;55(5):1902443. doi: 10.1183/13993003.02443-2019. Print 2020 May.","Rang C","Eur Respir J","2020","2020/03/07","","","10.1183/13993003.02443-2019"
"35956335","Probiotics Administration in Cystic Fibrosis: What Is the Evidence?","Esposito S, Testa I, Mariotti Zani E, Cunico D, Torelli L, Grandinetti R, Fainardi V, Pisi G, Principi N.","Nutrients. 2022 Jul 30;14(15):3160. doi: 10.3390/nu14153160.","Esposito S","Nutrients","2022","2022/08/12","PMC9370594","","10.3390/nu14153160"
"35405954","Pancreatic Enzyme Replacement Therapy in Cystic Fibrosis","Freswick PN, Reid EK, Mascarenhas MR.","Nutrients. 2022 Mar 23;14(7):1341. doi: 10.3390/nu14071341.","Freswick PN","Nutrients","2022","2022/04/12","PMC9003370","","10.3390/nu14071341"
"32718005","Cell-Based Therapeutic Approaches for Cystic Fibrosis","Duchesneau P, Waddell TK, Karoubi G.","Int J Mol Sci. 2020 Jul 23;21(15):5219. doi: 10.3390/ijms21155219.","Duchesneau P","Int J Mol Sci","2020","2020/07/29","PMC7432606","","10.3390/ijms21155219"
"37042825","Airway clearance techniques compared to no airway clearance techniques for cystic fibrosis","Warnock L, Gates A.","Cochrane Database Syst Rev. 2023 Apr 12;4(4):CD001401. doi: 10.1002/14651858.CD001401.pub4.","Warnock L","Cochrane Database Syst Rev","2023","2023/04/12","PMC10091803","","10.1002/14651858.CD001401.pub4"
"33213220","The pharmacokinetics of antibiotics in cystic fibrosis","Akkerman-Nijland AM, Akkerman OW, Grasmeijer F, Hagedoorn P, Frijlink HW, Rottier BL, Koppelman GH, Touw DJ.","Expert Opin Drug Metab Toxicol. 2021 Jan;17(1):53-68. doi: 10.1080/17425255.2021.1836157. Epub 2020 Dec 29.","Akkerman-Nijland AM","Expert Opin Drug Metab Toxicol","2021","2020/11/20","","","10.1080/17425255.2021.1836157"
"39051188","Cystic Fibrosis: Understanding Cystic Fibrosis Transmembrane Regulator Mutation Classification and Modulator Therapies","Anwar S, Peng JL, Zahid KR, Zhou YM, Ali Q, Qiu CR.","Adv Respir Med. 2024 Jul 20;92(4):263-277. doi: 10.3390/arm92040026.","Anwar S","Adv Respir Med","2024","2024/07/25","PMC11270331","","10.3390/arm92040026"
"36697233","Antisense Oligonucleotide Therapeutics for Cystic Fibrosis: Recent Developments and Perspectives","Kim YJ, Krainer AR.","Mol Cells. 2023 Jan 31;46(1):10-20. doi: 10.14348/molcells.2023.2172. Epub 2023 Jan 15.","Kim YJ","Mol Cells","2023","2023/01/25","PMC9880599","","10.14348/molcells.2023.2172"
"37121795","Inhaled mRNA therapy for treatment of cystic fibrosis: Interim results of a randomized, double-blind, placebo-controlled phase 1/2 clinical study","Rowe SM, Zuckerman JB, Dorgan D, Lascano J, McCoy K, Jain M, Schechter MS, Lommatzsch S, Indihar V, Lechtzin N, McBennett K, Callison C, Brown C, Liou TG, MacDonald KD, Nasr SZ, Bodie S, Vaughn M, Meltzer EB, Barbier AJ.","J Cyst Fibros. 2023 Jul;22(4):656-664. doi: 10.1016/j.jcf.2023.04.008. Epub 2023 Apr 29.","Rowe SM","J Cyst Fibros","2023","2023/04/30","PMC10524666","NIHMS1896496","10.1016/j.jcf.2023.04.008"
"32072797","Effectiveness of chest physiotherapy and pulmonary rehabilitation in patients with non-cystic fibrosis bronchiectasis: a narrative review","Annoni S, Bellofiore A, Repossini E, Lazzeri M, Nicolini A, Tarsia P.","Monaldi Arch Chest Dis. 2020 Feb 12;90(1). doi: 10.4081/monaldi.2020.1107.","Annoni S","Monaldi Arch Chest Dis","2020","2020/02/20","","","10.4081/monaldi.2020.1107"
"32403302","The Microbiome in Cystic Fibrosis Pulmonary Disease","Françoise A, Héry-Arnaud G.","Genes (Basel). 2020 May 11;11(5):536. doi: 10.3390/genes11050536.","Françoise A","Genes (Basel)","2020","2020/05/15","PMC7288443","","10.3390/genes11050536"
"38063253","Surgery for nasal polyposis in cystic fibrosis","Almeida PRL, Person OC, Puga ME, Atallah ÁN, Trevisani VF.","Cochrane Database Syst Rev. 2023 Dec 8;12(12):CD014084. doi: 10.1002/14651858.CD014084.pub2.","Almeida PRL","Cochrane Database Syst Rev","2023","2023/12/08","PMC10704557","","10.1002/14651858.CD014084.pub2"
"35215502","Nutrition in Cystic Fibrosis-Some Notes on the Fat Recommendations","Strandvik B.","Nutrients. 2022 Feb 18;14(4):853. doi: 10.3390/nu14040853.","Strandvik B","Nutrients","2022","2022/02/26","PMC8875685","","10.3390/nu14040853"
"31879237","The genetics and genomics of cystic fibrosis","Sharma N, Cutting GR.","J Cyst Fibros. 2020 Mar;19 Suppl 1(Suppl 1):S5-S9. doi: 10.1016/j.jcf.2019.11.003. Epub 2019 Dec 23.","Sharma N","J Cyst Fibros","2020","2019/12/28","PMC8008819","NIHMS1675336","10.1016/j.jcf.2019.11.003"
"32358807","Inhaled mannitol for cystic fibrosis","Nevitt SJ, Thornton J, Murray CS, Dwyer T.","Cochrane Database Syst Rev. 2020 May 1;5(5):CD008649. doi: 10.1002/14651858.CD008649.pub4.","Nevitt SJ","Cochrane Database Syst Rev","2020","2020/05/03","PMC7195814","","10.1002/14651858.CD008649.pub4"
"35649321","Metabolomics of airways disease in cystic fibrosis","Chandler JD, Esther CR Jr.","Curr Opin Pharmacol. 2022 Aug;65:102238. doi: 10.1016/j.coph.2022.102238. Epub 2022 May 29.","Chandler JD","Curr Opin Pharmacol","2022","2022/06/01","PMC10068587","NIHMS1883443","10.1016/j.coph.2022.102238"
"32751630","Proteomics and Metabolomics for Cystic Fibrosis Research","Liessi N, Pedemonte N, Armirotti A, Braccia C.","Int J Mol Sci. 2020 Jul 30;21(15):5439. doi: 10.3390/ijms21155439.","Liessi N","Int J Mol Sci","2020","2020/08/06","PMC7432297","","10.3390/ijms21155439"
"37699421","Advancing the pipeline of cystic fibrosis clinical trials: a new roadmap with a global trial network perspective","Mayer-Hamblett N, Clancy JP, Jain R, Donaldson SH, Fajac I, Goss CH, Polineni D, Ratjen F, Quon BS, Zemanick ET, Bell SC, Davies JC, Jain M, Konstan MW, Kerper NR, LaRosa T, Mall MA, McKone E, Pearson K, Pilewski JM, Quittell L, Rayment JH, Rowe SM, Taylor-Cousar JL, Retsch-Bogart G, Downey DG.","Lancet Respir Med. 2023 Oct;11(10):932-944. doi: 10.1016/S2213-2600(23)00297-7. Epub 2023 Sep 9.","Mayer-Hamblett N","Lancet Respir Med","2023","2023/09/12","PMC10982891","NIHMS1978358","10.1016/S2213-2600(23)00297-7"
"32773577","Pancreatic complications in children with cystic fibrosis","Sellers ZM.","Curr Opin Pediatr. 2020 Oct;32(5):661-667. doi: 10.1097/MOP.0000000000000934.","Sellers ZM","Curr Opin Pediatr","2020","2020/08/11","PMC7769036","NIHMS1651610","10.1097/MOP.0000000000000934"
"34857676","S-nitrosothiols signaling in cystic fibrosis airways","Liu M, Zaman R, Sawczak V, Periasamy A, Sun F, Zaman K.","J Biosci. 2021;46:111.","Liu M","J Biosci","2021","2021/12/03","","",""
"35816621","Efficacy and Safety of Elexacaftor/Tezacaftor/Ivacaftor in Children 6 Through 11 Years of Age with Cystic Fibrosis Heterozygous for F508del and a Minimal Function Mutation: A Phase 3b, Randomized, Placebo-controlled Study","Mall MA, Brugha R, Gartner S, Legg J, Moeller A, Mondejar-Lopez P, Prais D, Pressler T, Ratjen F, Reix P, Robinson PD, Selvadurai H, Stehling F, Ahluwalia N, Arteaga-Solis E, Bruinsma BG, Jennings M, Moskowitz SM, Noel S, Tian S, Weinstock TG, Wu P, Wainwright CE, Davies JC.","Am J Respir Crit Care Med. 2022 Dec 1;206(11):1361-1369. doi: 10.1164/rccm.202202-0392OC.","Mall MA","Am J Respir Crit Care Med","2022","2022/07/11","PMC9746869","","10.1164/rccm.202202-0392OC"
"32890021","Treatment of pulmonary exacerbations in cystic fibrosis","Ng C, Nadig T, Smyth AR, Flume P.","Curr Opin Pulm Med. 2020 Nov;26(6):679-684. doi: 10.1097/MCP.0000000000000730.","Ng C","Curr Opin Pulm Med","2020","2020/09/05","PMC7958864","NIHMS1651369","10.1097/MCP.0000000000000730"
"36149378","Appetite stimulants for people with cystic fibrosis","McTavish D, Thornton J.","Cochrane Database Syst Rev. 2022 Sep 23;9(9):CD008190. doi: 10.1002/14651858.CD008190.pub3.","McTavish D","Cochrane Database Syst Rev","2022","2022/09/23","PMC9504874","","10.1002/14651858.CD008190.pub3"
"34147362","Review of Gastrointestinal Motility in Cystic Fibrosis","Henen S, Denton C, Teckman J, Borowitz D, Patel D.","J Cyst Fibros. 2021 Jul;20(4):578-585. doi: 10.1016/j.jcf.2021.05.016. Epub 2021 Jun 17.","Henen S","J Cyst Fibros","2021","2021/06/20","","","10.1016/j.jcf.2021.05.016"
"37544654","Mathematical models of cystic fibrosis as a systemic disease","Olivença DV, Davis JD, Kumbale CM, Zhao CY, Brown SP, McCarty NA, Voit EO.","WIREs Mech Dis. 2023 Nov-Dec;15(6):e1625. doi: 10.1002/wsbm.1625. Epub 2023 Aug 6.","Olivença DV","WIREs Mech Dis","2023","2023/08/06","PMC10843793","NIHMS1920596","10.1002/wsbm.1625"
"33331663","Respiratory muscle training for cystic fibrosis","Stanford G, Ryan H, Solis-Moya A.","Cochrane Database Syst Rev. 2020 Dec 17;12(12):CD006112. doi: 10.1002/14651858.CD006112.pub5.","Stanford G","Cochrane Database Syst Rev","2020","2020/12/17","PMC8406523","","10.1002/14651858.CD006112.pub5"
"34296343","Chronic rhinosinusitis in cystic fibrosis: a review of therapeutic options","Krajewska J, Zub K, Słowikowski A, Zatoński T.","Eur Arch Otorhinolaryngol. 2022 Jan;279(1):1-24. doi: 10.1007/s00405-021-06875-6. Epub 2021 Jul 22.","Krajewska J","Eur Arch Otorhinolaryngol","2022","2021/07/23","PMC8739462","","10.1007/s00405-021-06875-6"
"36747207","Manual therapies in cystic fibrosis care: a scoping review","Sposato Sinderholm N, Bjerså K.","Chiropr Man Therap. 2023 Feb 6;31(1):7. doi: 10.1186/s12998-023-00478-0.","Sposato Sinderholm N","Chiropr Man Therap","2023","2023/02/07","PMC9903555","","10.1186/s12998-023-00478-0"
"35323061","Caregiver burden in cystic fibrosis: a systematic literature review","Daly C, Ruane P, O'Reilly K, Longworth L, Vega-Hernandez G.","Ther Adv Respir Dis. 2022 Jan-Dec;16:17534666221086416. doi: 10.1177/17534666221086416.","Daly C","Ther Adv Respir Dis","2022","2022/03/24","PMC8958690","","10.1177/17534666221086416"
"33202578","Current Treatment Options for Cystic Fibrosis-Related Liver Disease","Staufer K.","Int J Mol Sci. 2020 Nov 14;21(22):8586. doi: 10.3390/ijms21228586.","Staufer K","Int J Mol Sci","2020","2020/11/18","PMC7696864","","10.3390/ijms21228586"
"33924524","Cystic Fibrosis Lung Disease Modifiers and Their Relevance in the New Era of Precision Medicine","Sepahzad A, Morris-Rosendahl DJ, Davies JC.","Genes (Basel). 2021 Apr 13;12(4):562. doi: 10.3390/genes12040562.","Sepahzad A","Genes (Basel)","2021","2021/04/30","PMC8069009","","10.3390/genes12040562"
"31860331","Cystic Fibrosis: Emergence of Highly Effective Targeted Therapeutics and Potential Clinical Implications","Mall MA, Mayer-Hamblett N, Rowe SM.","Am J Respir Crit Care Med. 2020 May 15;201(10):1193-1208. doi: 10.1164/rccm.201910-1943SO.","Mall MA","Am J Respir Crit Care Med","2020","2019/12/21","PMC7233349","","10.1164/rccm.201910-1943SO"
"32606316","COVID-19 meets Cystic Fibrosis: for better or worse?","Peckham D, McDermott MF, Savic S, Mehta A.","Genes Immun. 2020 Aug;21(4):260-262. doi: 10.1038/s41435-020-0103-y. Epub 2020 Jul 1.","Peckham D","Genes Immun","2020","2020/07/02","","","10.1038/s41435-020-0103-y"
"33038767","Glued in lipids: Lipointoxication in cystic fibrosis","Vandebrouck C, Ferreira T.","EBioMedicine. 2020 Nov;61:103038. doi: 10.1016/j.ebiom.2020.103038. Epub 2020 Oct 7.","Vandebrouck C","EBioMedicine","2020","2020/10/10","PMC7648119","","10.1016/j.ebiom.2020.103038"
"34955387","Exercise intolerance in cystic fibrosis-the role of CFTR modulator therapies","Caterini JE, Ratjen F, Barker AR, Williams CA, Rendall K, Schneiderman JE, Wells GD.","J Cyst Fibros. 2022 Mar;21(2):282-292. doi: 10.1016/j.jcf.2021.11.011. Epub 2021 Dec 24.","Caterini JE","J Cyst Fibros","2022","2021/12/27","","","10.1016/j.jcf.2021.11.011"
"32849500","Role of Cystic Fibrosis Bronchial Epithelium in Neutrophil Chemotaxis","Cabrini G, Rimessi A, Borgatti M, Lampronti I, Finotti A, Pinton P, Gambari R.","Front Immunol. 2020 Aug 4;11:1438. doi: 10.3389/fimmu.2020.01438. eCollection 2020.","Cabrini G","Front Immunol","2020","2020/08/28","PMC7427443","","10.3389/fimmu.2020.01438"
